"Filename","TimestampPrefix","Bytes","SHA256","TrackedStatus","DuplicateTimestampStatus","DuplicateContentStatus","WorkingTreeModification"
"20260607133004_repair_linted_rpc_schema_drift.sql","20260607133004","13131","71D5E8CF6F18B200090EDD5FB9EADB09A88D3FC6FE1B9DEBE29B7B55034824BA","tracked","unique","unique","none"
"20260607133814_disable_legacy_alpha_mint_feed_trigger.sql","20260607133814","562","C72F446D84696CAA04DD750852B6F5B4D77DCC20AE0D0693D279CD65FD7823E2","tracked","unique","unique","none"
"20260618063958_security_hardening_pass_1_execution.sql","20260618063958","28273","AC8EFE80BB5370D30A9C39235F97B1130D64BAD5B69D81EDCF565CE6D8923C23","tracked","unique","unique","none"
"20260618070214_repair_remaining_linted_security_functions.sql","20260618070214","2566","8039C303FFA98A1355EBBAF85134DA7EF7831AB8439C5C08793D382766698EF4","tracked","unique","unique","none"
"20260618070433_edge_rate_limit_enforcement.sql","20260618070433","2089","AA8862D8A4E5717F4C273A086600FFBA5DCDC233EA6BA9734734E7DA60CE6B38","tracked","unique","unique","none"
"20260622113000_harden_kintsugi_cost_authority.sql","20260622113000","2290","A6352B7FBB26E1F079CA06CC2A180BDE2795145A4F0796BF6FE9AB81EDDC90DB","tracked","unique","unique","none"
"20260622114500_harden_player_reports.sql","20260622114500","3300","EF1E38E5EBC2879D94B4D41E7F179E6ACDB9586B13FAC9DBDA3C0EC1DBE9101C","tracked","unique","unique","none"
"20260622120000_restrict_player_report_grants.sql","20260622120000","343","D4F2D37515371410DD0D382EE0D6CA06BADAC283FBD2AEE49B07CC7F2F98AAAD","tracked","unique","unique","none"
"20260622121500_index_player_report_targets.sql","20260622121500","299","7E48C516F3B758D7CFFBD8E00E6A1CCADDAC50078C5E89583F603E4AA5D03136","tracked","unique","unique","none"
"20260622123000_retire_standalone_staff_supplier_games.sql","20260622123000","1299","50B1A3E576BEBCD12BB139B39A7E60CDC9D6041CD3652EAC8DF0F5B63205231A","tracked","unique","unique","none"
"20260703001117_first_loop_rank_progression.sql","20260703001117","9889","1C87DAEC3E1C158607E75FE120A53BCB4D24058E3EB9DFDC15430B93D3178AB4","tracked","unique","unique","none"
"20260703001633_first_loop_open_first_store.sql","20260703001633","3311","FDF78137EA9610C99BA8106637FFD1D86B322F9CC84FA5E200677D5F4EE8BAE7","tracked","unique","unique","none"
"20260705161524_restrict_direct_message_read_updates.sql","20260705161524","433","23559C277428406ED65589143A24BE75D2526FBA407E7703D1641DE98301CB71","tracked","unique","unique","none"
"20260713122917_vertical_slice_first_hour.sql","20260713122917","17377","36B511C15DE3F103DDD1984E2818769F75281904E76A8A14DAD45A364EF1EE6B","tracked","unique","unique","none"
"20260714183621_restrict_platform_auth_mapping_writes.sql","20260714183621","1260","D74BA643DEA808C1D734418953B2B495C3F33EDEBB9328FEECA4A08A90E2ADDF","tracked","unique","unique","none"
"20260718072833_immediate_authority_containment.sql","20260718072833","8165","015363B5205A35A486B29CE3BE26DA0D74DF393E35D61F5A7F77708AA3EF8F02","tracked","unique","unique","none"
"20260719140111_restrict_anonymous_platform_mapping_access.sql","20260719140111","1434","7F52058C8BEC762D2BCC53C25A637150ED9B906FA4276AD9E2F94B1AF9B12A26","tracked","unique","unique","none"
"20260719143057_m3a1_authority_containment_reimplementation.sql","20260719143057","9523","5865397E241CC42BDE9719BD424AD8D7E5ADD432FFE99CBD41115D59BD8DF62D","tracked","unique","unique","none"
"20260719180512_quarantine_functional_casting.sql","20260719180512","1926","867C633F8F0DCB0A2CBC753AA961FD730C64E1ED9CA04CE9C5BF1CD0E695824B","tracked","unique","unique","none"
"20260721120635_revoke_legacy_client_authority.sql","20260721120635","27042","E177F914649C7895A6B9BFB58E4EB7D6D2FECAA600DCACCC2159411B540803A6","tracked","unique","unique","none"
"20260721120638_api_schema_boundary.sql","20260721120638","6062","BEA202137D90F72EB7B9DEFA75D2D4C004FFF8CA7ADF35B4B2D0BB062BCB919D","tracked","unique","unique","none"
"20260722151802_kingston_early_game_api_contract.sql","20260722151802","49595","390129920282D771B92E1CBF3BE3329EB5992BCAC4960918D1DB4641045E4BDB","tracked","unique","unique","none"
"20260722190000_gdd_v7_kingston_authority_corrections.sql","20260722190000","37142","02FED2629D2C718AB2F1F17B9F82142FD8FC83FB4BFFF4136002242345F5EB72","tracked","unique","unique","none"
"20260726185809_kingston_founder_trial_state_machine.sql","20260726185809","11339","B9008E65B100ED147B8CFB56AD024E7C04AF4F1ECC60CE48F8B49989B54E113D","untracked-approved-wave-2a","unique","unique","new-approved-wave-2a"
"20260726193612_quarantine_legacy_power_move_functions.sql","20260726193612","544","18360939F4A53918061B0CEDAFE3A8A8929974A6C63A7A7C340FEBBF93FB5290","untracked-approved-wave-2a","unique","unique","new-approved-wave-2a"
"20260726231214_kingston_capsule_foundation.sql","20260726231214","13047","750541BE26B70E42ABABDC0DC7A82775172B7840796DBFEA21716A45509B8CE7","untracked-approved-wave-2a","unique","unique","new-approved-wave-2a"
